n,gamma,model,GroupCount,mean_ratio,min_ratio,mean_gap,min_gap,mean_theoryBound,min_theoryBound,mean_exactTime,min_exactTime,mean_algTime,min_algTime,mean_supportSize,min_supportSize
10,0.2,CR-SHP,8,1,1,0,0,0.5,0.5,0.0159656,0.0064698,0.00357645,0.0001488,21,21
10,0.2,CVaR-CR-SHP,8,1,1,0,0,0.5,0.5,0.011272275,0.006699,0.000929,8.2e-05,1,1
10,0.5,CR-SHP,8,0.999414422444113,0.995315379552906,0.000585577555886751,0,0.5,0.5,0.02409025,0.0162123,0.0002037,0.0001651,21,21
10,0.5,CVaR-CR-SHP,8,1,1,0,0,0.5,0.5,0.0146503125,0.0104285,8.07625e-05,7.12e-05,1,1
10,0.8,CR-SHP,8,0.998332363733383,0.992926675366883,0.00166763626661707,0,0.8,0.8,0.029143325,0.0268235,0.0002125125,0.0001387,21,21
10,0.8,CVaR-CR-SHP,8,1,1,0,0,0.8,0.8,0.0159778,0.0140096,7.93625e-05,6.9e-05,1,1
12,0.2,CR-SHP,8,1,1,0,0,0.5,0.5,0.02980045,0.0278102,0.0001645125,0.0001418,25,25
12,0.2,CVaR-CR-SHP,8,1,1,0,0,0.5,0.5,0.030072425,0.0273477,0.00010065,7.43e-05,1,1
12,0.5,CR-SHP,8,0.99935723929461,0.996347508874766,0.000642760705390407,0,0.5,0.5,0.0757817,0.0733251,0.000207775,0.0001429,25,25
12,0.5,CVaR-CR-SHP,8,1,1,0,0,0.5,0.5,0.0517695125,0.0481975,0.0001029,7.02e-05,1,1
12,0.8,CR-SHP,8,0.996610018355423,0.99029540392784,0.00338998164457714,0,0.75,0.75,0.1261940125,0.120422,0.0001639875,0.0001393,25,25
12,0.8,CVaR-CR-SHP,8,1,1,0,0,0.75,0.75,0.06390095,0.0616179,8.61125e-05,7.01e-05,1,1
14,0.2,CR-SHP,8,1,1,0,0,0.5,0.5,0.129826775,0.1252778,0.00019535,0.000149,29,29
14,0.2,CVaR-CR-SHP,8,1,1,0,0,0.5,0.5,0.130436125,0.1272433,8.2775e-05,7.99e-05,1,1
14,0.5,CR-SHP,8,0.999311708060315,0.996730118868825,0.000688291939684786,0,0.5,0.5,0.3453887125,0.3387232,0.000197075,0.0001659,29,29
14,0.5,CVaR-CR-SHP,8,1,1,0,0,0.5,0.5,0.2274176625,0.2215032,7.69625e-05,6.84e-05,1,1
14,0.8,CR-SHP,8,0.998734648829488,0.99279836303289,0.00126535117051153,0,0.785714285714286,0.785714285714286,0.5965134,0.5896548,0.0001864875,0.0001676,29,29
14,0.8,CVaR-CR-SHP,8,1,1,0,0,0.785714285714286,0.785714285714286,0.29699075,0.2925593,8.2175e-05,6.67e-05,1,1
16,0.2,CR-SHP,8,1,1,0,0,0.5,0.5,0.5931862875,0.5811143,0.0001756125,0.0001528,33,33
16,0.2,CVaR-CR-SHP,8,1,1,0,0,0.5,0.5,0.5860439375,0.5787846,8.5875e-05,7.91e-05,1,1
16,0.5,CR-SHP,8,0.999002024207549,0.996584383231105,0.000997975792450599,0,0.5,0.5,1.5656596,1.547794,0.000214175,0.000162,33,33
16,0.5,CVaR-CR-SHP,8,1,1,0,0,0.5,0.5,1.0302486125,1.0095118,0.0001040875,7.08e-05,1,1
16,0.8,CR-SHP,8,0.996884958633973,0.993188332351502,0.00311504136602717,0,0.75,0.75,2.704941375,2.6675413,0.0002027375,0.0001714,33,33
16,0.8,CVaR-CR-SHP,8,1,1,0,0,0.75,0.75,1.324182525,1.3017514,8.55e-05,6.88e-05,1,1
