n,alpha,GroupCount,mean_objectiveDiff,max_objectiveDiff,mean_relativeDiff,max_relativeDiff,mean_setOverlap,max_setOverlap,mean_directTime,max_directTime,mean_truncatedTime,max_truncatedTime,mean_chainSupport,max_chainSupport,mean_tailSupport,max_tailSupport
8,0.05,8,0,0,0,0,1,1,0.0094163,0.0308549,0.00602505,0.0203883,17,17,1,1
8,0.1,8,0,0,0,0,1,1,0.0057108625,0.0080794,0.00381905,0.0059869,17,17,1,1
8,0.2,8,0,0,0,0,1,1,0.0061831625,0.0106533,0.0041569875,0.0094657,17,17,1.375,2
10,0.05,8,0,0,0,0,1,1,0.0288226125,0.0426467,0.0120457125,0.0146101,21,21,1,1
10,0.1,8,0,0,0,0,1,1,0.02369265,0.0263443,0.0126121125,0.0256558,21,21,1,1
10,0.2,8,0,0,0,0,1,1,0.022058525,0.0243887,0.011779925,0.0168683,21,21,1.625,4
12,0.05,8,0,0,0,0,1,1,0.1052954875,0.1171856,0.0497160875,0.051904,25,25,1,1
12,0.1,8,0,0,0,0,1,1,0.1016786625,0.1038734,0.0492868,0.0512833,25,25,1,1
12,0.2,8,0,0,0,0,1,1,0.103096925,0.1091827,0.051873225,0.0600408,25,25,1.875,3
14,0.05,8,0,0,0,0,1,1,0.47062235,0.4884998,0.2259433,0.2283051,29,29,1,1
14,0.1,8,0,0,0,0,1,1,0.4709215875,0.4921682,0.2251011125,0.2291872,29,29,1,1
14,0.2,8,0,0,0,0,1,1,0.4710526625,0.4888774,0.2297932875,0.2360481,29,29,1.75,2
16,0.05,8,0,0,0,0,1,1,2.12399805,2.1843959,1.00708585,1.0366267,33,33,1,1
16,0.1,8,0,0,0,0,1,1,2.1304609875,2.184685,1.009331625,1.0260312,33,33,1,1
16,0.2,8,0,0,0,0,1,1,2.1251177625,2.1650153,1.0351930625,1.0799597,33,33,2,4
