testMode,model,GroupCount,mean_testMean,mean_cvar10,mean_q05,mean_worst,mean_regretToBest,mean_selectedCount,mean_supportTail
adverse,CR-SHP,10,2758.34210068538,1360.90846613043,1360.90846613043,1360.90846613043,0,0,57.1
adverse,CVaR-CR-SHP,10,2431.20765079716,1664.79221098875,1664.79221098875,1664.79221098875,327.134449888221,12.6,57.1
adverse,Mixed,10,2717.54823146195,1418.11228279655,1418.11228279655,1418.11228279655,40.793869223428,1.8,57.1
adverse,Nominal,10,2758.34210068538,1360.90846613043,1360.90846613043,1360.90846613043,0,0,57.1
comonotone,CR-SHP,10,2784.81776121149,1360.90846613043,1360.90846613043,1360.90846613043,0,0,57.1
comonotone,CVaR-CR-SHP,10,2453.31975527512,1664.79221098875,1664.79221098875,1664.79221098875,331.498005936369,12.6,57.1
comonotone,Mixed,10,2744.70634896487,1418.11228279655,1418.11228279655,1418.11228279655,40.1114122466221,1.8,57.1
comonotone,Nominal,10,2784.81776121149,1360.90846613043,1360.90846613043,1360.90846613043,0,0,57.1
gaussian06,CR-SHP,10,3024.57129775807,1551.31393221968,1546.23704717435,1360.90846613043,0,0,57.1
gaussian06,CVaR-CR-SHP,10,2609.97550225826,1787.27116377292,1783.90785586275,1664.79221098875,414.595795499807,12.6,57.1
gaussian06,Mixed,10,2973.53212424649,1599.85073507519,1595.85339094226,1418.11228279655,51.0391735115777,1.8,57.1
gaussian06,Nominal,10,3024.57129775807,1551.31393221968,1546.23704717435,1360.90846613043,0,0,57.1
independent,CR-SHP,10,3298.86211425228,2984.76143187686,3003.66037298639,2643.07585605595,0,0,57.1
independent,CVaR-CR-SHP,10,2786.06661216962,2599.52576590018,2613.27132910337,2360.0332515916,512.795502082659,12.6,57.1
independent,Mixed,10,3234.41585016716,2937.25119083425,2959.28323382262,2608.89524855592,64.4462640851219,1.8,57.1
independent,Nominal,10,3298.86211425228,2984.76143187686,3003.66037298639,2643.07585605595,0,0,57.1
t_copula06,CR-SHP,10,3024.38318502546,1536.29616123483,1528.75923911382,1360.90846613043,0,0,57.1
t_copula06,CVaR-CR-SHP,10,2613.05788445667,1777.79210530602,1775.23575972505,1664.79221098875,411.325300568789,12.6,57.1
t_copula06,Mixed,10,2973.62583846685,1584.61424211218,1578.59168392436,1418.11228279655,50.7573465586102,1.8,57.1
t_copula06,Nominal,10,3024.38318502546,1536.29616123483,1528.75923911382,1360.90846613043,0,0,57.1
