beta,alpha,model,GroupCount,mean_selectedCount,mean_tailSupport,mean_testMean,mean_cvar10,mean_q05,mean_worst
0.6,0.3,CR-SHP,3,0,22.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.3,CVaR-CR-SHP,3,16.6666666666667,22.6666666666667,1687.30135791251,1280.34962677377,1276.00081751231,1243.2795064939
0.6,0.3,Mixed,3,0,22.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.3,Nominal,3,0,22.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.35,CR-SHP,3,0,32,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.35,CVaR-CR-SHP,3,8.33333333333333,32,2098.69561747882,1271.90867185113,1267.79468202177,1172.22644445725
0.6,0.35,Mixed,3,0,32,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.35,Nominal,3,0,32,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.4,CR-SHP,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.4,CVaR-CR-SHP,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.4,Mixed,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.4,Nominal,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.45,CR-SHP,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.45,CVaR-CR-SHP,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.45,Mixed,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.45,Nominal,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.5,CR-SHP,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.5,CVaR-CR-SHP,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.5,Mixed,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.6,0.5,Nominal,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.3,CR-SHP,3,0,22.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.3,CVaR-CR-SHP,3,25,22.6666666666667,1393.75801006114,1393.75801006114,1393.75801006114,1393.75801006114
0.65,0.3,Mixed,3,0,22.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.3,Nominal,3,0,22.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.35,CR-SHP,3,0,32,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.35,CVaR-CR-SHP,3,16.6666666666667,32,1757.18865103322,1350.23691989448,1345.88811063302,1313.16679961462
0.65,0.35,Mixed,3,0,32,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.35,Nominal,3,0,32,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.4,CR-SHP,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.4,CVaR-CR-SHP,3,8.33333333333333,41,2132.78402531696,1305.99707968927,1301.88308985992,1206.3148522954
0.65,0.4,Mixed,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.4,Nominal,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.45,CR-SHP,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.45,CVaR-CR-SHP,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.45,Mixed,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.45,Nominal,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.5,CR-SHP,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.5,CVaR-CR-SHP,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.5,Mixed,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.65,0.5,Nominal,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.3,CR-SHP,3,0,22.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.3,CVaR-CR-SHP,3,25,22.6666666666667,1497.4868252185,1497.4868252185,1497.4868252185,1497.4868252185
0.7,0.3,Mixed,3,0,22.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.3,Nominal,3,0,22.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.35,CR-SHP,3,0,32,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.35,CVaR-CR-SHP,3,25,32,1497.4868252185,1497.4868252185,1497.4868252185,1497.4868252185
0.7,0.35,Mixed,3,0,32,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.35,Nominal,3,0,32,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.4,CR-SHP,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.4,CVaR-CR-SHP,3,25,41,1497.4868252185,1497.4868252185,1497.4868252185,1497.4868252185
0.7,0.4,Mixed,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.4,Nominal,3,0,41,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.45,CR-SHP,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.45,CVaR-CR-SHP,3,8.33333333333333,46.6666666666667,2166.87243315511,1340.08548752741,1335.97149769806,1240.40326013354
0.7,0.45,Mixed,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.45,Nominal,3,0,46.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.5,CR-SHP,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.5,CVaR-CR-SHP,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.5,Mixed,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
0.7,0.5,Nominal,3,0,51.6666666666667,2492.19709421606,1250.00465086798,1244.37176346762,1104.22134763301
