n,k,seed,fullSupportLog10,chainSupport,tailSupport,dataTime,buildTime,tailTime,crSolveTime,cvarSolveTime
50,25,1,23.8560627359831,101,1,0.1399955,0.0278062,0.0050911,0.0212643,0.0037841
50,25,2,23.8560627359831,101,1,0.0096637,0.0057218,0.0005695,0.002589,0.0003857
50,25,3,23.8560627359831,101,1,0.0068368,0.0056584,0.0002591,0.0041345,0.0019556
50,25,4,23.8560627359831,101,1,0.0034892,0.002729,0.0002188,0.0005181,7.54e-05
50,25,5,23.8560627359831,101,1,0.0200509,0.0103636,0.0018899,0.0009795,0.0005249
100,50,1,47.7121254719662,201,1,0.0011816,0.0096413,8.62e-05,0.0388509,9.15e-05
100,50,2,47.7121254719662,201,1,0.0008075,0.0085185,4.51e-05,0.0015864,0.0001227
100,50,3,47.7121254719662,201,1,0.000855,0.0083279,3.87e-05,0.0013417,5.55e-05
100,50,4,47.7121254719662,201,1,0.0014252,0.0087197,0.0002332,0.0013556,5.32e-05
100,50,5,47.7121254719662,201,1,0.0008009,0.0117013,3.24e-05,0.0014121,6.48e-05
200,100,1,95.4242509439325,401,1,0.0011462,0.0337651,2.68e-05,0.0094555,0.0001124
200,100,2,95.4242509439325,401,1,0.0012753,0.0436004,2.57e-05,0.0062622,0.0001486
200,100,3,95.4242509439325,401,1,0.0009051,0.041188,3.55e-05,0.0056466,8.86e-05
200,100,4,95.4242509439325,401,1,0.0009553,0.0330391,2.52e-05,0.0049409,0.0001169
200,100,5,95.4242509439325,401,1,0.0008976,0.0366367,2.62e-05,0.0051523,8.89e-05
500,250,1,238.560627359831,1001,1,0.0031562,0.2075376,3.06e-05,0.0335468,0.0002293
500,250,2,238.560627359831,1001,1,0.0015063,0.2046233,3.8e-05,0.0310804,0.0001922
500,250,3,238.560627359831,1001,1,0.0017518,0.2101726,4.09e-05,0.0315365,0.0002183
500,250,4,238.560627359831,1001,1,0.0014717,0.2105162,3.86e-05,0.0339681,0.0001952
500,250,5,238.560627359831,1001,1,0.0015582,0.2223924,4.78e-05,0.03397,0.0003222
1000,500,1,477.121254719662,2001,1,0.0046639,0.8649565,6.12e-05,0.138998,0.0005323
1000,500,2,477.121254719662,2001,1,0.0032853,0.8758945,6.14e-05,0.1445414,0.0007301
1000,500,3,477.121254719662,2001,1,0.002596,0.8499434,4.93e-05,0.1375251,0.0004915
1000,500,4,477.121254719662,2001,1,0.0025148,0.8737597,5.38e-05,0.140229,0.0004933
1000,500,5,477.121254719662,2001,1,0.0027841,0.8473158,4.81e-05,0.1405249,0.0006639
2000,1000,1,954.242509439325,4001,1,0.0061579,12.3631483,0.0008128,1.8837595,0.0056044
2000,1000,2,954.242509439325,4001,1,0.0462023,14.0534818,0.000447,1.7921949,0.0056479
2000,1000,3,954.242509439325,4001,1,0.0276213,12.9102627,0.0005577,1.8398934,0.0051189
2000,1000,4,954.242509439325,4001,1,0.0222557,13.3198622,0.000481,1.6031524,0.0096586
2000,1000,5,954.242509439325,4001,1,0.015056,17.1683524,0.0007023,1.7695038,0.0096011
